official_order,list,citation_as_published_by_noaa,links,source_page
1,noaa_model_publications,"Stein, A.F., Draxler, R.R, Rolph, G.D., Stunder, B.J.B., Cohen, M.D., and Ngan, F., (2015). NOAA’s HYSPLIT atmospheric transport and dispersion modeling system, Bull. Amer. Meteor. Soc., 96, 2059-2077, http://dx.doi.org/10.1175/BAMS-D-14-00110.1",http://dx.doi.org/10.1175/BAMS-D-14-00110.1,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
2,noaa_model_publications,"Draxler, R.R., 1999: HYSPLIT4 user’s guide. NOAA Tech. Memo. ERL ARL-230 , NOAA Air Resources Laboratory, Silver Spring, MD.",https://arl.noaa.gov/wp_arl/wp-content/uploads/documents/reports/arl-230.pdf,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
3,noaa_model_publications,"Draxler, R.R., and G.D. Hess, 1998: An overview of the HYSPLIT_4 modeling system of trajectories, dispersion, and deposition. Aust. Meteor. Mag., 47, 295-308 .",https://www.arl.noaa.gov/documents/reports/MetMag.pdf,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
4,noaa_model_publications,"Draxler, R.R., and G.D. Hess, 1997: Description of the HYSPLIT_4 modeling system. NOAA Tech. Memo. ERL ARL-224 , NOAA Air Resources Laboratory, Silver Spring, MD, 24 pp.",https://www.arl.noaa.gov/wp_arl/wp-content/uploads/documents/reports/arl-224.pdf,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
5,noaa_model_publications,"Stein, A.F., Draxler, R.R, Rolph, G.D., Stunder, B.J.B., Cohen, M.D., and Ngan, F., (2015). NOAA’s HYSPLIT atmospheric transport and dispersion modeling system, Bull. Amer. Meteor. Soc., 96, 2059-2077, http://dx.doi.org/10.1175/BAMS-D-14-00110.1",https://doi.org/10.1175/BAMS-D-14-00110.1,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
6,noaa_model_publications,"Rolph, G., Stein, A., and Stunder, B., (2017). Real-time Environmental Applications and Display sYstem: READY. Environmental Modelling & Software, 95, 210-228, https://doi.org/10.1016/j.envsoft.2017.06.025",https://doi.org/10.1016/j.envsoft.2017.06.025,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
7,noaa_model_publications,"HYSPLIT Brochure (updated 8/2021) (PDF, 600KB)",https://www.arl.noaa.gov//wp_arl/wp-content/uploads/2021/08/HYSPLIT-r4.pdf,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
8,noaa_model_publications,"Improving volcanic ash predictions with the HYSPLIT dispersion model by assimilating MODIS satellite retrievals Chai, T., Crawford, A., Stunder, B., Pavolonis, M. J., Draxler, R., and Stein, A.: Improving volcanic ash predictions with the HYSPLIT dispersion model by assimilating MODIS satellite retrievals, Atmos. Chem. Phys., 17, 2865-2879, doi:10.5194/acp-17-2865-2017, 2017.",https://doi.org/10.5194/acp-17-2865-2017,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
9,noaa_model_publications,"Initializing HYPSLIT with satellite observations of volcanic ash: A case study of the 2008 Kasatochi eruption Crawford, B. J. B. Stunder, F. Ngan, M. J. Pavolonis, 2016. J. Geophys. Res. Atmos., 121, doi:10.1002/2016JD024779",https://doi.org/10.1002/2016JD024779,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
10,noaa_model_publications,"NOAA’s HYSPLIT atmospheric transport and dispersion modeling system Stein, A.F., Draxler, R.R, Rolph, G.D., Stunder, B.J.B., Cohen, M.D., and Ngan, F., (2015). Bull. Amer. Meteor. Soc., 96, 2059-2077.",http://dx.doi.org/10.1175/BAMS-D-14-00110.1,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
11,noaa_model_publications,"Inline Coupling of WRF-HYSPLIT: Model Development and Evaluation Using Tracer Experiments. Fong Ngan, Ariel Stein, and Roland Draxler, 2015. J. Appl. Meteor. Climatol., 54, 1162-1176. doi:10.1175/JAMC-D-14-0247.1",http://dx.doi.org/10.1175/JAMC-D-14-0247.1,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
12,noaa_model_publications,"Source term estimation using air concentration measurements and a Lagrangian dispersion model – Experiments with pseudo and real cesium-137 observations from the Fukushima nuclear accident , Chai et al. 2015",https://www.sciencedirect.com/science/article/pii/S135223101500093X”,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
13,noaa_model_publications,"Modeling the fallout from stabilized nuclear clouds using the HYSPLIT atmospheric dispersion model – Rolph, G.D., F. Ngan, and R.R. Draxler (2014), Journal of environmental radioactivity 136: 41-55.",https://www.sciencedirect.com/science/article/pii/S0265931X14001453”,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
14,noaa_model_publications,"Evaluation of the Transfer Coefficient Matrix (TCM) approach to model the atmospheric radionuclide air concentrations from Fukushima . – Draxler, R.R., and G.D. Rolph (2012), Journal of Geophysical Research: Atmospheres (1984-2012) 117.D5.",https://doi.org/10.1029/2011JD017205,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
15,noaa_model_publications,"An Empirically Derived Emission Algorithm for Wind Blown Dust – Draxler, R. R., P. Ginoux, and A. F. Stein (2010), An empirically derived emission algorithm for wind-blown dust, J. Geophys. Res., 115, D16212, doi:10.1029/2009JD013167.",https://doi.org/10.1029/2009JD013167,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
16,noaa_model_publications,"Description and verification of the NOAA smoke forecasting system: the 2007 fire season Rolph, G.D., et al. (2009), Weather and Forecasting 24.2 (2009): 361-378.",https://doi.org/10.1175/2008WAF2222165.1,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
17,noaa_model_publications,"Verification of the NOAA smoke forecasting system: model sensitivity to the injection height Stein, A.F., et al. (2009), Weather and Forecasting 24.2: 379-394 https://doi.org/10.1175/2008WAF2222166.1.",https://journals.ametsoc.org/view/journals/wefo/24/2/2008waf2222166_1.xml,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
18,noaa_model_publications,"Airborne Volcanic Ash Forecast Area Reliability – Stunder, B.J.B., J.L. Heffter, R.R. Draxler (2007), Weather and Forecasting, 22:1132-1139, DOI: 10.1175/WAF1042.1",https://doi.org/10.1175/WAF1042.1,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
19,noaa_model_publications,"Numerical basis for the global Eulerian module in HYSPLIT version 4.9 – Draxler, R.R., 2007, Demonstration of a global modeling methodology to determine the relative importance of local and long-distance sources, Atmospheric Environment, 41:776-789, doi:10.1016/j.atmosenv.2006.08.052 .",https://www.sciencedirect.com/science/article/pii/S1352231006009071,https://www.arl.noaa.gov/hysplit/hysplit-publications-meteorological-data-information/
